127.0.0.1 - - [15/Jul/2024:23:29:15 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [15/Jul/2024:23:29:17 +0530] "GET /Test/index.jsp HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [15/Jul/2024:23:29:17 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [15/Jul/2024:23:30:08 +0530] "GET /Test/register.jsp HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [15/Jul/2024:23:30:14 +0530] "GET /Test/iindex.jsp HTTP/1.1" 404 740
0:0:0:0:0:0:0:1 - - [15/Jul/2024:23:30:18 +0530] "GET /Test/index.jsp HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [15/Jul/2024:23:31:10 +0530] "GET /Test/login.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [15/Jul/2024:23:31:13 +0530] "GET /Test/register.jsp HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [15/Jul/2024:23:31:13 +0530] "GET /Test/login.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [15/Jul/2024:23:31:14 +0530] "GET /Test/register.jsp HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [15/Jul/2024:23:31:14 +0530] "GET /Test/login.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [15/Jul/2024:23:31:14 +0530] "GET /Test/register.jsp HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [15/Jul/2024:23:31:14 +0530] "GET /Test/login.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [15/Jul/2024:23:31:15 +0530] "GET /Test/register.jsp HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [15/Jul/2024:23:31:15 +0530] "GET /Test/login.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [15/Jul/2024:23:31:16 +0530] "GET /Test/register.jsp HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [15/Jul/2024:23:31:16 +0530] "GET /Test/login.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [15/Jul/2024:23:31:16 +0530] "GET /Test/register.jsp HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [15/Jul/2024:23:31:17 +0530] "GET /Test/login.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [15/Jul/2024:23:31:18 +0530] "GET /Test/register.jsp HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [15/Jul/2024:23:31:19 +0530] "GET /Test/login.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [15/Jul/2024:23:31:20 +0530] "GET /Test/register.jsp HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [15/Jul/2024:23:31:20 +0530] "GET /Test/login.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [15/Jul/2024:23:31:20 +0530] "GET /Test/register.jsp HTTP/1.1" 200 188
